date and time,portfolio value,ticker,number of shares (no fractional shares),current market value of all shares held,current day profit/loss in dollars
datetime,portfolio_value,ticker,quantity,market_value,current_day_loss_profit
8/21/2020 21:55,16812.75,"['TQQQ', 'GMZ', 'GER', 'PRU']","[8, 20, 26, 2]","[1133.84, 198.6, 198.12, 135.0]","[-0.16, -0.99, -7.35, -7.76]"
,,,,,
08/28/2020 01:23,16811.57,[],[],[],[]
08/28/2020 01:24,16811.57,[],[],[],[]
08/28/2020 01:26,16811.57,[],[],[],[]
08/28/2020 01:27,16811.57,[],[],[],[]
08/28/2020 01:27,16811.57,[],[],[],[]
08/28/2020 01:29,16811.57,[],[],[],[]
08/28/2020 01:30,16811.57,[],[],[],[]
08/28/2020 01:30,16811.57,[],[],[],[]
08/28/2020 01:31,16811.57,[],[],[],[]
08/28/2020 01:31,16811.57,[],[],[],[]
08/28/2020 01:32,16811.57,[],[],[],[]
08/28/2020 01:32,16811.57,[],[],[],[]
08/28/2020 01:33,16811.57,[],[],[],[]
08/28/2020 01:35,16811.57,[],[],[],[]
08/28/2020 01:36,16811.57,[],[],[],[]
08/28/2020 01:37,16811.57,[],[],[],[]
08/28/2020 01:38,16811.57,[],[],[],[]
08/28/2020 01:39,16811.57,[],[],[],[]
08/28/2020 01:40,16811.57,[],[],[],[]
08/28/2020 01:44,16811.57,[],[],[],[]
08/28/2020 01:46,16811.57,[],[],[],[]
08/31/2020 09:06,16819.72,[],[],[],[]
08/31/2020 09:07,16819.72,[],[],[],[]
08/31/2020 09:08,16819.72,[],[],[],[]
08/31/2020 09:09,16819.72,[],[],[],[]
08/31/2020 09:10,16819.72,[],[],[],[]
08/31/2020 09:11,16819.72,[],[],[],[]
08/31/2020 09:12,16819.72,[],[],[],[]
08/31/2020 09:13,16819.72,[],[],[],[]
08/31/2020 09:14,16819.72,[],[],[],[]
08/31/2020 09:15,16819.72,[],[],[],[]
08/31/2020 09:17,16819.72,[],[],[],[]
08/31/2020 09:18,16819.72,[],[],[],[]
08/31/2020 09:19,16819.72,[],[],[],[]
08/31/2020 09:20,16819.72,[],[],[],[]
08/31/2020 09:21,16819.72,[],[],[],[]
08/31/2020 09:22,16819.72,[],[],[],[]
08/31/2020 09:23,16819.72,[],[],[],[]
08/31/2020 09:24,16819.72,[],[],[],[]
08/31/2020 09:25,16819.72,[],[],[],[]
08/31/2020 09:26,16819.72,[],[],[],[]
08/31/2020 09:27,16819.72,[],[],[],[]
08/31/2020 09:28,16819.72,[],[],[],[]
08/31/2020 09:29,16819.72,[],[],[],[]
08/31/2020 09:30,16819.72,[],[],[],[]
08/31/2020 09:31,16819.72,[],[],[],[]
08/31/2020 09:32,16819.72,[],[],[],[]
08/31/2020 09:33,16819.72,[],[],[],[]
08/31/2020 09:34,16819.72,[],[],[],[]
08/31/2020 09:35,16819.72,[],[],[],[]
08/31/2020 09:36,16819.72,[],[],[],[]
08/31/2020 09:37,16819.72,[],[],[],[]
08/31/2020 09:38,16819.72,[],[],[],[]
08/31/2020 09:39,16819.72,[],[],[],[]
08/31/2020 09:40,16819.72,[],[],[],[]
08/31/2020 09:42,16819.72,[],[],[],[]
08/31/2020 09:43,16819.72,[],[],[],[]
08/31/2020 09:44,16819.72,[],[],[],[]
08/31/2020 09:45,16819.72,[],[],[],[]
08/31/2020 09:46,16819.72,[],[],[],[]
08/31/2020 09:47,16819.72,[],[],[],[]
08/31/2020 09:48,16819.72,[],[],[],[]
08/31/2020 09:49,16819.72,[],[],[],[]
08/31/2020 09:50,16819.72,[],[],[],[]
08/31/2020 09:51,16819.72,[],[],[],[]
08/31/2020 09:52,16819.72,[],[],[],[]
08/31/2020 09:53,16819.72,[],[],[],[]
08/31/2020 09:54,16819.72,[],[],[],[]
08/31/2020 09:55,16819.72,[],[],[],[]
08/31/2020 09:56,16819.72,[],[],[],[]
08/31/2020 09:57,16819.72,[],[],[],[]
08/31/2020 09:58,16819.72,[],[],[],[]
08/31/2020 09:59,16819.72,[],[],[],[]
08/31/2020 10:00,16819.72,[],[],[],[]
08/31/2020 10:01,16819.72,[],[],[],[]
08/31/2020 10:02,16819.72,[],[],[],[]
08/31/2020 10:03,16819.72,[],[],[],[]
08/31/2020 10:04,16819.72,[],[],[],[]
08/31/2020 10:06,16819.72,[],[],[],[]
08/31/2020 10:07,16819.72,[],[],[],[]
08/31/2020 10:08,16819.72,[],[],[],[]
08/31/2020 10:09,16819.72,[],[],[],[]
08/31/2020 10:10,16819.72,[],[],[],[]
08/31/2020 10:11,16819.72,[],[],[],[]
08/31/2020 10:12,16819.72,[],[],[],[]
08/31/2020 10:13,16819.72,[],[],[],[]
08/31/2020 10:14,16819.72,[],[],[],[]
08/31/2020 10:15,16819.72,[],[],[],[]
08/31/2020 10:16,16819.72,[],[],[],[]
08/31/2020 10:17,16819.72,[],[],[],[]
08/31/2020 10:18,16819.72,[],[],[],[]
08/31/2020 10:19,16819.72,[],[],[],[]
08/31/2020 10:20,16819.72,[],[],[],[]
08/31/2020 10:21,16819.72,[],[],[],[]
08/31/2020 10:22,16819.72,[],[],[],[]
08/31/2020 10:23,16819.72,[],[],[],[]
08/31/2020 10:24,16819.72,[],[],[],[]
08/31/2020 10:25,16819.72,[],[],[],[]
08/31/2020 10:26,16819.72,[],[],[],[]
08/31/2020 10:27,16819.72,[],[],[],[]
08/31/2020 10:28,16819.72,[],[],[],[]
08/31/2020 10:29,16819.72,[],[],[],[]
08/31/2020 10:31,16819.72,[],[],[],[]
08/31/2020 10:32,16819.72,[],[],[],[]
08/31/2020 10:33,16819.72,[],[],[],[]
08/31/2020 10:34,16819.72,[],[],[],[]
08/31/2020 10:35,16819.72,[],[],[],[]
08/31/2020 10:36,16819.72,[],[],[],[]
08/31/2020 10:37,16819.72,[],[],[],[]
08/31/2020 10:38,16819.72,[],[],[],[]
08/31/2020 10:39,16819.72,[],[],[],[]
08/31/2020 10:40,16819.72,[],[],[],[]
08/31/2020 10:41,16819.72,[],[],[],[]
08/31/2020 10:42,16819.72,[],[],[],[]
08/31/2020 10:43,16819.72,[],[],[],[]
08/31/2020 10:44,16819.72,[],[],[],[]
08/31/2020 10:45,16819.72,[],[],[],[]
08/31/2020 10:46,16819.72,[],[],[],[]
08/31/2020 10:47,16819.72,[],[],[],[]
08/31/2020 10:48,16819.72,[],[],[],[]
08/31/2020 10:49,16819.72,[],[],[],[]
08/31/2020 10:50,16819.72,[],[],[],[]
08/31/2020 10:51,16819.72,[],[],[],[]
08/31/2020 10:52,16819.72,[],[],[],[]
08/31/2020 10:53,16819.72,[],[],[],[]
08/31/2020 10:54,16819.72,[],[],[],[]
08/31/2020 10:56,16819.72,[],[],[],[]
08/31/2020 10:57,16819.72,[],[],[],[]
08/31/2020 10:58,16819.72,[],[],[],[]
08/31/2020 10:59,16819.72,[],[],[],[]
08/31/2020 11:00,16819.72,[],[],[],[]
08/31/2020 11:01,16819.72,[],[],[],[]
08/31/2020 11:02,16819.72,[],[],[],[]
08/31/2020 11:03,16819.72,[],[],[],[]
08/31/2020 11:04,16819.72,[],[],[],[]
08/31/2020 11:05,16819.72,[],[],[],[]
08/31/2020 11:06,16819.72,[],[],[],[]
08/31/2020 11:07,16819.72,[],[],[],[]
08/31/2020 11:08,16819.72,[],[],[],[]
08/31/2020 11:09,16819.72,[],[],[],[]
08/31/2020 11:10,16819.72,[],[],[],[]
08/31/2020 11:11,16819.72,[],[],[],[]
08/31/2020 11:12,16819.72,[],[],[],[]
08/31/2020 11:13,16819.72,[],[],[],[]
08/31/2020 11:14,16819.72,[],[],[],[]
08/31/2020 11:15,16819.72,[],[],[],[]
08/31/2020 11:16,16819.72,[],[],[],[]
08/31/2020 11:17,16819.72,[],[],[],[]
08/31/2020 11:19,16819.72,[],[],[],[]
08/31/2020 11:20,16819.72,[],[],[],[]
08/31/2020 11:21,16819.72,[],[],[],[]
08/31/2020 11:22,16819.72,[],[],[],[]
08/31/2020 11:23,16819.72,[],[],[],[]
08/31/2020 11:24,16819.72,[],[],[],[]
08/31/2020 11:25,16819.72,[],[],[],[]
08/31/2020 11:26,16819.72,[],[],[],[]
08/31/2020 11:27,16819.72,[],[],[],[]
08/31/2020 11:28,16819.72,[],[],[],[]
08/31/2020 11:29,16819.72,[],[],[],[]
08/31/2020 11:30,16819.72,[],[],[],[]
08/31/2020 11:31,16819.72,[],[],[],[]
08/31/2020 11:32,16819.72,[],[],[],[]
08/31/2020 11:33,16819.72,[],[],[],[]
08/31/2020 11:34,16819.72,[],[],[],[]
08/31/2020 11:35,16819.72,[],[],[],[]
08/31/2020 11:36,16819.72,[],[],[],[]
08/31/2020 11:37,16819.72,[],[],[],[]
08/31/2020 11:38,16819.72,[],[],[],[]
08/31/2020 11:39,16819.72,[],[],[],[]
08/31/2020 11:40,16819.72,[],[],[],[]
08/31/2020 11:41,16819.72,[],[],[],[]
08/31/2020 11:42,16819.72,[],[],[],[]
08/31/2020 11:44,16819.72,[],[],[],[]
08/31/2020 11:45,16819.72,[],[],[],[]
08/31/2020 11:46,16819.72,[],[],[],[]
08/31/2020 11:47,16819.72,[],[],[],[]
08/31/2020 11:48,16819.72,[],[],[],[]
08/31/2020 11:49,16819.72,[],[],[],[]
08/31/2020 11:50,16819.72,[],[],[],[]
08/31/2020 11:51,16819.72,[],[],[],[]
08/31/2020 11:52,16819.72,[],[],[],[]
08/31/2020 11:53,16819.72,[],[],[],[]
08/31/2020 11:54,16819.72,[],[],[],[]
08/31/2020 11:55,16819.72,[],[],[],[]
08/31/2020 11:56,16819.72,[],[],[],[]
08/31/2020 11:57,16819.72,[],[],[],[]
08/31/2020 11:58,16819.72,[],[],[],[]
08/31/2020 11:59,16819.72,[],[],[],[]
08/31/2020 12:00,16819.72,[],[],[],[]
08/31/2020 12:01,16819.72,[],[],[],[]
08/31/2020 12:02,16819.72,[],[],[],[]
08/31/2020 12:03,16819.72,[],[],[],[]
08/31/2020 12:04,16819.72,[],[],[],[]
08/31/2020 12:05,16819.72,[],[],[],[]
08/31/2020 12:06,16819.72,[],[],[],[]
08/31/2020 12:07,16819.72,[],[],[],[]
08/31/2020 12:09,16819.72,[],[],[],[]
08/31/2020 12:10,16819.72,[],[],[],[]
08/31/2020 12:11,16819.72,[],[],[],[]
08/31/2020 12:12,16819.72,[],[],[],[]
08/31/2020 12:13,16819.72,[],[],[],[]
08/31/2020 12:14,16819.72,[],[],[],[]
08/31/2020 12:15,16819.72,[],[],[],[]
08/31/2020 12:16,16819.72,[],[],[],[]
08/31/2020 12:17,16819.72,[],[],[],[]
08/31/2020 12:18,16819.72,[],[],[],[]
08/31/2020 12:19,16819.72,[],[],[],[]
08/31/2020 12:20,16819.72,[],[],[],[]
08/31/2020 12:21,16819.72,[],[],[],[]
08/31/2020 12:22,16819.72,[],[],[],[]
08/31/2020 12:23,16819.72,[],[],[],[]
08/31/2020 12:24,16819.72,[],[],[],[]
08/31/2020 12:25,16819.72,[],[],[],[]
08/31/2020 12:26,16819.72,[],[],[],[]
08/31/2020 12:27,16819.72,[],[],[],[]
08/31/2020 12:28,16819.72,[],[],[],[]
08/31/2020 12:29,16819.72,[],[],[],[]
08/31/2020 12:30,16819.72,[],[],[],[]
08/31/2020 12:31,16819.72,[],[],[],[]
08/31/2020 12:33,16819.72,[],[],[],[]
08/31/2020 12:34,16819.72,[],[],[],[]
08/31/2020 12:35,16819.72,[],[],[],[]
08/31/2020 12:36,16819.72,[],[],[],[]
08/31/2020 12:37,16819.72,[],[],[],[]
08/31/2020 12:38,16819.72,[],[],[],[]
08/31/2020 12:39,16819.72,[],[],[],[]
08/31/2020 12:40,16819.72,[],[],[],[]
08/31/2020 12:41,16819.72,[],[],[],[]
08/31/2020 12:42,16819.72,[],[],[],[]
08/31/2020 12:43,16819.72,[],[],[],[]
08/31/2020 12:44,16819.72,[],[],[],[]
08/31/2020 12:45,16819.72,[],[],[],[]
08/31/2020 12:46,16819.72,[],[],[],[]
08/31/2020 12:47,16819.72,[],[],[],[]
08/31/2020 12:48,16819.72,[],[],[],[]
08/31/2020 12:49,16819.72,[],[],[],[]
08/31/2020 12:50,16819.72,[],[],[],[]
08/31/2020 12:51,16819.72,[],[],[],[]
08/31/2020 12:52,16819.72,[],[],[],[]
08/31/2020 12:53,16819.72,[],[],[],[]
08/31/2020 12:54,16819.72,[],[],[],[]
08/31/2020 12:56,16819.72,[],[],[],[]
08/31/2020 12:57,16819.72,[],[],[],[]
08/31/2020 12:58,16819.72,[],[],[],[]
08/31/2020 12:59,16819.72,[],[],[],[]
08/31/2020 13:00,16819.72,[],[],[],[]
08/31/2020 13:01,16819.72,[],[],[],[]
08/31/2020 13:02,16819.72,[],[],[],[]
08/31/2020 13:03,16819.72,[],[],[],[]
08/31/2020 13:04,16819.72,[],[],[],[]
08/31/2020 13:05,16819.72,[],[],[],[]
08/31/2020 13:06,16819.72,[],[],[],[]
08/31/2020 13:07,16819.72,[],[],[],[]
08/31/2020 13:08,16819.72,[],[],[],[]
08/31/2020 13:09,16819.72,[],[],[],[]
08/31/2020 13:10,16819.72,[],[],[],[]
08/31/2020 13:11,16819.72,[],[],[],[]
08/31/2020 13:12,16819.72,[],[],[],[]
08/31/2020 13:13,16819.72,[],[],[],[]
08/31/2020 13:14,16819.72,[],[],[],[]
08/31/2020 13:15,16819.72,[],[],[],[]
08/31/2020 13:16,16819.72,[],[],[],[]
08/31/2020 13:17,16819.72,[],[],[],[]
08/31/2020 13:18,16819.72,[],[],[],[]
08/31/2020 13:19,16819.72,[],[],[],[]
08/31/2020 13:21,16819.72,[],[],[],[]
08/31/2020 13:22,16819.72,[],[],[],[]
08/31/2020 13:23,16819.72,[],[],[],[]
08/31/2020 13:24,16819.72,[],[],[],[]
08/31/2020 13:25,16819.72,[],[],[],[]
08/31/2020 13:26,16819.72,[],[],[],[]
08/31/2020 13:27,16819.72,[],[],[],[]
08/31/2020 13:28,16819.72,[],[],[],[]
08/31/2020 13:29,16819.72,[],[],[],[]
08/31/2020 13:30,16818.88,"['AMCR', 'PTEN']","[8, 22]","[89.56, 86.46]","[0.04, -0.88]"
08/31/2020 13:31,16818.06,"['AMCR', 'PTEN']","[8, 22]","[89.4, 85.8]","[-0.12, -1.54]"
08/31/2020 13:34,16816.38,"['AMCR', 'PTEN']","[8, 22]","[89.48, 84.04]","[-0.04, -3.3]"
08/31/2020 13:36,16816.85,"['AMCR', 'PTEN']","[8, 22]","[89.4, 84.59]","[-0.12, -2.75]"
08/31/2020 13:38,16817.0,"['AMCR', 'PTEN']","[8, 22]","[89.44, 84.7]","[-0.08, -2.64]"
08/31/2020 13:39,16815.82,"['AMCR', 'PTEN']","[8, 22]","[89.36, 83.6]","[-0.16, -3.74]"
08/31/2020 13:41,16815.29,"['AMCR', 'PTEN']","[8, 22]","[89.16, 83.27]","[-0.36, -4.07]"
08/31/2020 13:43,16814.8,"['AMCR', 'PTEN']","[8, 22]","[89.0, 82.94]","[-0.52, -4.4]"
08/31/2020 13:45,16815.18,"['AMCR', 'PTEN']","[8, 22]","[89.16, 83.16]","[-0.36, -4.18]"
08/31/2020 13:46,16815.21,"['AMCR', 'PTEN']","[8, 22]","[89.08, 83.27]","[-0.44, -4.07]"
08/31/2020 13:48,16814.72,"['AMCR', 'PTEN']","[8, 22]","[88.92, 82.94]","[-0.6, -4.4]"
08/31/2020 13:50,16814.57,"['AMCR', 'PTEN']","[8, 22]","[88.88, 82.83]","[-0.64, -4.51]"
08/31/2020 13:51,16814.34,"['AMCR', 'PTEN']","[8, 22]","[88.76, 82.72]","[-0.76, -4.62]"
08/31/2020 13:54,16813.6,"['AMCR', 'PTEN']","[8, 22]","[88.84, 81.9]","[-0.68, -5.445]"
08/31/2020 13:56,16813.58,"['AMCR', 'PTEN']","[8, 22]","[88.88, 81.84]","[-0.64, -5.5]"
08/31/2020 19:51,16816.6,"['AMCR', 'PTEN']","[8, 22]","[88.6, 85.14]","[-0.92, -2.2]"
08/31/2020 19:52,16816.49,"['AMCR', 'PTEN']","[8, 22]","[88.6, 85.03]","[-0.92, -2.31]"
08/31/2020 19:53,16816.6,"['AMCR', 'PTEN']","[8, 22]","[88.6, 85.14]","[-0.92, -2.2]"
08/31/2020 19:54,16816.38,"['AMCR', 'PTEN']","[8, 22]","[88.6, 84.92]","[-0.92, -2.42]"
08/31/2020 19:55,16816.36,"['AMCR', 'PTEN']","[17, 47]","[188.11, 181.66]","[-0.985, -2.385]"
08/31/2020 19:56,16816.42,"['AMCR', 'PTEN']","[17, 47]","[187.94, 181.89]","[-1.155, -2.15]"
08/31/2020 19:57,16815.65,"['AMCR', 'PTEN']","[17, 47]","[188.11, 180.95]","[-0.985, -3.09]"
08/31/2020 19:58,16815.8,"['AMCR', 'PTEN']","[17, 47]","[188.02, 181.19]","[-1.07, -2.855]"
08/31/2020 19:59,16816.37,"['AMCR', 'PTEN']","[17, 47]","[188.36, 181.42]","[-0.73, -2.62]"
08/31/2020 20:00,16815.56,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[-1.07, -3.09]"
08/31/2020 20:01,16815.56,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[-1.07, -3.09]"
08/31/2020 20:02,16815.56,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[-1.07, -3.09]"
08/31/2020 20:04,16815.56,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[-1.07, -3.09]"
08/31/2020 20:05,16815.56,"['AMCR', 'PTEN']","[17, 47]","[188.02, 180.95]","[-1.07, -3.09]"
